id,project,status,created_at,updated_at,application_round,wallet_address,last_updated,project_id,title,description,website,github_user,project_github,project_twitter,previous_funding,team_size,live_on_other_chains,project_value,improvements_to_existing_project
0x06e848f768e6e972fdc073e58678bf371083fd9ea45fcebd4d4925102513f297-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x06e848f768e6e972fdc073e58678bf371083fd9ea45fcebd4d4925102513f297,PENDING,2022-11-22 12:59:29,2022-11-22 12:59:29,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0xd42d631ae4c242db45671cf7cbfa2289d8db56fe,0,62,InterSwap,"InterSwap is the first fully composable native asset cross-chain AMM with unified liquidity built on top of the LayerZero network.

InterSwap offers the smoothest user experience for cross-chain swaps - seamless native swaps across chains within 3 clicks, 2 minutes and 1 transaction in the trustless way. 


Additional use case: a non-custodial automated cross-chain portfolio manager.
",https://interswap.io/,https://github.com/KonstantinRmz,https://github.com/Interswap-labs,@InterSwap_io,"We received a grant from Polygon, Moonbeam. Some seed round funding from VCs and angels.",10,"Currently we are deployed on testnets of 8 networks: Ethereum, BSC, Polygon, Avalanche, Optimism, Fantom, Moonbeam, Arbitrum). We have a plans to deploy on several more chains in near future.","We are addressing liquidity fragmentation, insecure bridging solutions and exposure to CEXes during cross-chain transaction. After Ethereum birth we’ve witnessed the rise of many L1s and L2s, most of them aiming to resolve scalability issues and provide enhanced  smart contracts capabilities. Consequences of increasing the number of networks led the whole blockchain industry to liquidity fragmentation across different networks.   According to the latest report, 69% of all crypto theft taken place in 2022 came from cross-chain bridge hacks. The report from Chainalysis, the firm that deals with blockchain analytics stated that 14 token bridge hacks have occurred in 2022 so far and that led to theft of $2bil+.We are building most capital efficient cross-chain AMM with unified liquidity; and non custodial automated cross-chain portfolio manager built on top of LayerZero network. Seamless onboarding of users from all supported chains for Moonbeam chain, protocols and dApps built on it.  InterSwap has capabilities to connect several chains through single liquidity pool, making protocol most capital efficient solution on the market.  Here is detailed proposition and description of solution.",
0x089e0079dacd3c682f9e9a9ee90b7354cf706c0c1f737afbc8f389e166c5f06a-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x089e0079dacd3c682f9e9a9ee90b7354cf706c0c1f737afbc8f389e166c5f06a,PENDING,2022-11-27 14:40:37,2022-11-27 14:40:37,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0xbcedb3e27f2650f4698e1cc6a02bbd2cef123b4b,0,80,FantomNames.org - Web3 Social Usernames,"We (Punk Domains) are building a unique way for the Fantom community to interact with each other on the upcoming Web3 Social.

We are launching a Web3 Social username service called FantomNames.org where anybody could mint their very own web3 domain username with a .fantom extension.

The .fantom extension represents the Fantom community. Once the username is minted it belongs to the user forever (no renewables).

### Strengthening bonds within the Fantom community

Many people are already using .eth names as usernames on Twitter and other social media.

Imagine the same happening for the Fantom community. Having your own domain extension is good for spreading awareness and it also strengthens bonds between members of the community.

### More than just a domain

Web3 names are a digital identity. Fantom members can use domains as usernames when they log into web3 apps. They can also attach additional data to a domain, like a website URL, or a Twitter handle, or email address. Or they can use domains to easily send tokens and NFTs to each other.

The Fantom Names service is built on top of the Punk Domains protocol that is the go-to protocol for many big projects like KlimaDAO, Smol Brains, Layer2DAO and more.

### Many possible integrations

Any dApp or web3 frontend can easily integrate with .fantom domain extensions.

The protocol is completely permissionless and the code is open-sourced on our Github: https://github.com/punk-domains

### Minting fees => Public Goods

We are firm believers in public goods funding.

That is why 50% of the domain minting proceeds will go into funding public goods projects on Fantom.

### The future & conclusion

Web3 Social is arriving in a big way. There are many projects building different parts (lego blocks) of the upcoming Web3 Social.

Usernames (aka “domains”) are one of these building blocks. The whole idea is based on the fact that every user owns their online identity and the content they produce (posts, comments, images, etc.)

Web3 names are the integral part of Web3 Social. They mainly serve as usernames, but can also hold additional (optional) data such as homepage URL, image data, email address, etc.

Let’s bring the Fantom community into the Web3 Social space together!

- Website: https://fantomnames.org/
- Twitter: https://twitter.com/PunkDomains
- GitHub: https://github.com/punk-domains",https://fantomnames.org,tempe-techie,punk-domains,PunkDomains,Gitcoin,2,Yes,"It's a web3 domain protocol that can issue multiple domain extensions. Each project on Fantom can have their own domain extension through our protocol. This helps with marketing efforts (spreading awareness about the project) and also brings revenue to the project treasury. There are many DAOs already using our protocol, such as KlimaDAO, Smol Brains, L2DAO, etc.","No, we have our own unique codebase."
0x09019d0ef8ae691debea7dc4d96f0f76edb2b97107a148e841c151a9966fbed5-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x09019d0ef8ae691debea7dc4d96f0f76edb2b97107a148e841c151a9966fbed5,PENDING,2022-12-02 18:49:32,2022-12-02 18:49:32,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0xc2e704499e5607be3a6364f96129636b96f5ec48,0,250:0x8e1bD5Da87C14dd8e08F7ecc2aBf9D1d558ea174:122,Just Brew It DAO,"A DAO where the NFT holders decide on the creation of a brewery from where it will be built, to the types of beers to brew, to the labels for the bottles. NFT holders will receive benefits ranging from discounts, swag, receiving free beer quarterly, all the way up to revenue sharing. ",https://JustBrewIt.DAO,,JustBrewItDAO,JustBrewItDAO,No,1,No,Allowing the entire globe to decide on all of the details of creating a brewery from the ground up. ,No
0x0bc6b0feab6bb662019b824fc223d5cfe217bbe1605295fc022be2e58360683c-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x0bc6b0feab6bb662019b824fc223d5cfe217bbe1605295fc022be2e58360683c,PENDING,2022-11-28 09:19:19,2022-11-28 09:19:19,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x4e260bb2b25ec6f3a59b478fcde5ed5b8d783b02,0,83,Web3 Payments for Fantom - DePay,"DePay pioneers Web3 Payments with the power of DeFi.

It allows to accept any token with on-the-fly conversion (through decentralized exchanges).

DePay provides a full-stack infrastructure for Web3 Payments consisting of the payment protocol, payment router smart contracts, open source libraries, apis, and payment gateways.

DePay is currently the only P2P payment app on Shopify (https://apps.shopify.com/depay) and a WooCommerce payment partner (https://woocommerce.com/products/depay-payments/).

This grant is to support adding Fantom to DePay, ultimately allowing anyone to receive payments directly into their wallets, settled on the Fantom network.",https://depay.com,10xsebastian,depayfi,depay,Founder funded.,5,Yes,Web3 Payments. On-the-fly payment conversion through DeFi. P2P payment gateways for E-Commerce (Shopify + WooCommerce). Open-Source libraries.,
0x0c7fc7c4591c4bb4fc181a7369309a47bd9f9d66f4215005b2fa1e9dd34949ba-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x0c7fc7c4591c4bb4fc181a7369309a47bd9f9d66f4215005b2fa1e9dd34949ba,PENDING,2022-11-21 20:01:45,2022-11-21 20:01:45,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0xc1501c73cf23067e2a16faceb5be4796cd8f2111,0,59,DOG's Forensics as a Service (Faas),"Dog, Fantom's most persistent annoyances, is willing to continue investigating disingenuous and criminal activity on the fantom network; in accordance with The fantom foundation's Gitcoin program.",https://ftmscan.com,,,,no,1,no,"Investigation and forensics, much needed due to the heavy deception on fantom.",No.
0x1207e7650bc9cd89d2ae967b0b63f591162bbe5fc2f64dea3a749dfda5b67449-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x1207e7650bc9cd89d2ae967b0b63f591162bbe5fc2f64dea3a749dfda5b67449,PENDING,2022-11-16 17:01:53,2022-11-16 17:01:53,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x48294a067d1bc5a58bcbab4b3be329d078d9e1af,0,45,Pin Save: decentralized Pinterest,"Pin Save is a decentralized image sharing and content aggregation platform where users can not only control the content, but also the platform itself.

The combination of decentralized storage, smart contracts and creator ownership of intellectual property creates new dynamics between content creators and forms new more meaningful communities.

Pin Save 4 key features:
The decentralized Feed to reinforce discovery of content and feedback.
Decentralized Identity (ERC-725) to provide anonymity and data protection.
Upgradeable, resilient, and more open decentralized storage.
Smart Contracts to securely serve web experiences directly to users.

Pin Save assists in lowering the threshold for users to enter the web3 space, provides incentives to share content and effectively improves the adoption of the decentralized technology.",https://evm.pinsave.app,pfed-prog,dspytdao,PinSav3,Filecoin Grant and Hackathons,3,yes on testnet,"One of our developers has completed developers program with SkyNet decentralized storage provider. Currently we are in the grant process with Filecoin. As a result, we believe we possess a competitive advantage in providing our user the best tailored decentralized storage experience.  The combination of decentralized storage, smart contracts and creator ownership of intellectual property creates new dynamics between content creators and forms new more meaningful communities.  Pin Save assists in lowering the threshold for users to enter the web3 space, provides incentives to share content and effectively improves the adoption of the decentralized technology.",
0x1d02cf91e0538941b643db2b34a1b9e72fbf129a021ecc0f569980b1a6f45bc3-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x1d02cf91e0538941b643db2b34a1b9e72fbf129a021ecc0f569980b1a6f45bc3,PENDING,2022-11-17 15:46:22,2022-11-17 15:46:22,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd,0,49,Giveth,"Giveth is using blockchain to reward and empower those who give to projects, to society, and to the world! 
Our community is focused on Building the Future of Giving using blockchain technology. Our intention is to support and reward the funding of public goods by creating open, transparent and free access to the revolutionary funding opportunities available within the Ethereum ecosystem.",https://giveth.io,,,@Givethio,NO,54,"yes, Ethereum and Gnosis",We are thrilled to partner up with Fantom to offer the 1st donation platform in the ecosystem by adding it to our chain!,
0x1e9e8d47b2f14f961f5b27b76a06753d987cc36ea0e85405bace67aa4fa3f89d-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x1e9e8d47b2f14f961f5b27b76a06753d987cc36ea0e85405bace67aa4fa3f89d,PENDING,2022-11-22 19:34:49,2022-11-22 19:34:49,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0xb614b1464c561eb2fd0d7d3475feb52b5a34dec0,0,16,Pepemon: Degen Battleground,"Pepemon it's a DAO owned by the players building open gaming goods in web3.

Degen Battleground is the first Pepemon game. A play and earn trading card game, it's powered by DeFi, using NFTs as in-game assets, and governed decentralized by the players. An easy to learn, difficult to master Trading Card Game where users will duel each other on blockchain in their journey to become the very best.


Pepemon started in 2020 as one of the new decentralized economies with a 99.86% airdrop of the tokens to the community members that helped spreading the word on our mission: build a blockchain game that it's owned by the players.


Since inception we launched different dapps in our economy including:

- Our staking platform with ~80% of PPBLZ token in staking or ~$3mil TVL.

- A NFT Store that sold more than $1mil of digital cards.

- A way for Pepetrainers to stake and evolve their existing NFTs in NFT Staking Events.

- A Unity game app pending launching on Android, iOS and web.",https://pepemon.world/,,,pepemonfinance,Gitcoin grants,7,Yes,A trading card game on chain utilizing a DeFi economy to pay players with NFT cards,"Everything is developed from scratch, open source with other open gaming goods."
0x268db24b83a82d31b0856f31c87f9c9b6248ed4ea313ca97281efb8797de0e39-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x268db24b83a82d31b0856f31c87f9c9b6248ed4ea313ca97281efb8797de0e39,PENDING,2022-11-30 11:37:55,2022-11-30 11:37:55,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0xd05aa43ea6bed1d138111fe58802fe88dee93bc6,0,250:0x8e1bD5Da87C14dd8e08F7ecc2aBf9D1d558ea174:93,Eyepto,"What if all crypto transactions could be done with QR codes only?

What if you don't need to be using a DApp to use crypto?

What if you could turn any Instagram, TikTok.. content into an NFT?

What if you could trade your crypto assets on your favorite messaging apps with real people you know?

What if physical stores could reward their users with NFTs and other crypto assets by simply having the Eyepto mobile app?

This is what Eyepto is, and many more things are possible.

Eyepto is meant to unleash the power of crypto outside of DApps and bring it into the hands of everyone.",https://eyepto.com,https://github.com/devzl,https://github.com/eyepto,0xeyepto,No,2,Yes,Create an easy to access way to crypto and allow more innovation about what can be in the Fantom ecosystem.,
0x26c147b6e04f82c9cf7e451517fc56a42e15f0a65c21074223b5b1e8c44fa11b-0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x26c147b6e04f82c9cf7e451517fc56a42e15f0a65c21074223b5b1e8c44fa11b,PENDING,2022-11-14 19:38:56,2022-11-14 19:38:56,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0x080749e06a9fee7af0e9c922bd6901f9edf86033,0,13,The Sterling project,"Im building stuff, I think. Im crowdsourcing what im gonna build.2",https://discord.gg/pPqRtzDG,,,@not__sterling,No,250,No,A little bit if everything. Your imagination is the limit. ,
